estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Sorted DAG (fixed),0.43389836463528797,2.3567362428842507,2.2204301075268815,0.6060522661329114,4.707463630613535,1.0,3162,20,2,10,0.5,scale-free,2
Sorted DAG (truth),0.14483085332639728,0.43010752688172044,0.49873497786211257,0.9454721864993656,5.21157495256167,1.0,3162,20,2,10,0.5,scale-free,2
Clustered DAG,0.4079289393252038,2.0404807084123973,2.263440860215054,0.7779037376285953,5.009171410499683,1.0,3162,20,2,10,0.5,scale-free,2
Contextual DAG,0.13985451710865596,0.5169,0.653,0.9370704692529692,4.8155,1.0,10000,20,2,10,0.5,scale-free,2
Fixed DAG,0.8468024689403784,4.3457,4.5903,0.3823621212121211,5.0,1.0,10000,20,2,10,0.5,scale-free,2
Sorted DAG (fixed),0.5565280552092616,3.8436,3.445,0.4221447282576385,5.2487,1.0,10000,20,2,10,0.5,scale-free,2
Sorted DAG (truth),0.16534103934692992,0.5264,0.7476,0.9368533405483404,4.5987,1.0,10000,20,2,10,0.5,scale-free,2
Clustered DAG,0.32348385374440186,2.3385,2.773,0.7187858466533469,4.8014,1.0,10000,20,2,10,0.5,scale-free,2
Contextual DAG,0.859956690449216,8.87,9.32,0.2774328852886121,8.17,1.0,100,20,5,10,0.5,scale-free,2
Fixed DAG,0.8541296915167412,5.06,5.88,0.4426101676101675,6.0,1.0,100,20,5,10,0.5,scale-free,2
Sorted DAG (fixed),0.9107495425100864,8.01,8.26,0.2424861438240695,6.14,1.0,100,20,5,10,0.5,scale-free,2
Sorted DAG (truth),0.7637068863887446,6.56,7.1,0.4426099140552677,7.19,1.0,100,20,5,10,0.5,scale-free,2
Clustered DAG,0.8541296915167412,5.06,5.88,0.4426101676101675,6.0,1.0,100,20,5,10,0.5,scale-free,2
Contextual DAG,0.8062294691361881,4.737341772151899,5.237341772151899,0.41380567044751865,4.063291139240507,1.0,316,20,5,10,0.5,scale-free,2
Fixed DAG,0.911833559620234,4.825949367088608,5.006329113924051,0.4166404095201564,5.0,1.0,316,20,5,10,0.5,scale-free,2
